nameRepository,prMerged,prClosed,sum
freeCodeCamp,14191,11685,25876
996.ICU,1020,796,1816
free-programming-books,3430,1242,4672
vue,1017,762,1779
react,7432,3125,10557
coding-interview-university,221,305,526
awesome,530,1082,1612
tensorflow,11727,5082,16809
developer-roadmap,62,119,181
bootstrap,6746,5465,12211
You-Dont-Know-JS,350,440,790
ohmyzsh,2410,3029,5439
system-design-primer,187,60,247
CS-Notes,375,145,520
flutter,19341,7365,26706
gitignore,1414,1909,3323
public-apis,920,316,1236
vscode,6558,2313,8871
linux,9,431,440
javascript,759,480,1239
javascript-algorithms,198,121,319
build-your-own-x,83,42,125
Python,1497,2078,3575
Python-100-Days,12,82,94
JavaGuide,402,176,578
d3,436,665,1101
awesome-python,523,857,1380
react-native,617,8972,9589
youtube-dl,1507,2076,3583
electron,11550,1595,13145
fucking-algorithm,199,176,375
create-react-app,1860,1495,3355
the-art-of-command-line,303,120,423
go,0,1325,1325
axios,380,340,720
computer-science,187,116,303
free-programming-books-zh_CN,269,132,401
node,3020,20877,23897
kubernetes,47036,14596,61632
deno,4425,1234,5659
terminal,1830,247,2077
angular,2956,15178,18134
30-seconds-of-code,738,640,1378
TypeScript,10528,2182,12710
puppeteer,1860,387,2247
animate.css,231,246,477
models,2148,1125,3273
three.js,8301,2701,11002
material-ui,10319,2291,12610
vue-element-admin,313,141,454
Font-Awesome,183,405,588
next.js,6196,1556,7752
java-design-patterns,713,287,1000
laravel,1298,2620,3918
LeetCodeAnimation,61,10,71
awesome-go,2352,882,3234
nodebestpractices,574,92,666
storybook,5370,1399,6769
moby,16679,4376,21055
awesome-vue,3104,311,3415
thefuck,429,88,517
angular.js,787,7109,7896
webpack,3566,938,4504
django,6390,7625,14015
realworld,173,36,209
reveal.js,340,474,814
redux,1393,724,2117
swift,32044,4180,36224
awesome-selfhosted,1512,340,1852
FiraCode,102,39,141
atom,3790,1120,4910
jquery,507,2158,2665
flask,1145,700,1845
elasticsearch,37342,6655,43997
spring-boot,41,4600,4641
rust,33724,10930,44654
opencv,9618,2223,11841
advanced-java,58,28,86
json-server,96,109,205
socket.io,393,372,765
Chart.js,2219,721,2940
express,211,757,968
architect-awesome,49,12,61
PowerToys,2237,283,2520
netdata,4152,471,4623
shadowsocks-windows,262,188,450
bitcoin,10019,4611,14630
tech-interview-handbook,129,38,167
hugo,1326,1680,3006
keras,2417,1641,4058
markdown-here,20,25,45
interviews,42,33,75
Apollo-11,292,87,379
httpie,144,127,271
Front-End-Checklist,164,104,268
gatsby,14431,2782,17213
element,3095,1188,4283
awesome-machine-learning,671,36,707
html5-boilerplate,454,778,1232
Semantic-UI,351,404,755
lodash,571,535,1106
clean-code-javascript,145,69,214
Front-end-Developer-Interview-Questions,365,162,527
resume.github.com,84,84,168
redis,1784,1504,3288
